location	TU ID	Sense tags	Annotation	Antisense tags
Chr	TU984	ssl3297; sll1714; sll1715	hypothetical protein ; unknown protein ; hypothetical protein	ncr0390
Chr	TU986	sll1712; sll1713	DNA binding protein HU ; histidinol-phosphate aminotransferase	NA
Chr	TU987	NA	NA	NA
Chr	TU988	NA	NA	sll1469
Chr	TU989	NA	NA	NA
Chr	TU990	NA	NA	NA
Chr	TU991	slr1536	ATP-dependent DNA helicase RecQ	NA
Chr	TU993	NA	NA	NA
Chr	TU992	NA	NA	slr1536
Chr	TU994	ncr0400; slr1537; slr1538	ncRNA; unknown protein ; cobalamin biosynthesis protein D	NA
Chr	TU995	slr1540; slr1541; slr1542	mRNA-binding protein ; hypothetical protein ; 2-C-methyl-D-erythritol 2;4-cyclodiphosphate synth ase	NA
Chr	TU996	NA	NA	slr1540; slr1541; slr1542
Chr	TU997	slr1543	DNA-damage-inducible protein	sll1468
Chr	TU998	sll1468	b-carotene hydroxylase	slr1543
Chr	TU999	NA	NA	NA
Chr	TU1000	ssr2595; slr1544; ncr0410	high light-inducible polypeptide HliB; CAB/ELIP/HL IP superfamily ; unknown protein ; ncRNA	NA
Chr	TU1001	NA	NA	NA
Chr	TU1002	slr1545; slr1546; slr1547	RNA polymerase ECF-type (group 3) sigma-E factor ; hypothetical protein ; hypothetical protein	NA
Chr	TU1003	NA	NA	slr1545; slr1546; slr1547
Chr	TU1004	6803t10	NA	NA
Chr	TU1005	NA	NA	ssl2823; sll1466
Chr	TU1007	NA	NA	ssl2823; sll1466
Chr	TU1006	ssl2823; sll1466	hypothetical protein ; probable glycosyltransferase	NA
Chr	TU1009	NA	NA	sll1463; sll1464
Chr	TU1008	sll1463; sll1464	cell division protein FtsH ; hypothetical protein	NA
Chr	TU1011	NA	NA	sll1461; sll1462
Chr	TU1012	NA	NA	sll1459; sll1461; sll1462
Chr	TU1010	sll1461; sll1462	hypothetical protein ; putative hydrogenase expression/formation protein HypE	NA
Chr	TU1014	slr1549	peptide deformylase	sll1459
Chr	TU1015	ssr2611; slr1550	hypothetical protein ; lysyl-tRNA synthetase	sll1457; sll1459
Chr	TU1013	sll1459	stationary phase survival protein SurE	slr1549; ssr2611; slr1550
Chr	TU1017	NA	NA	sll1457
Chr	TU1016	sll1457	RfbJ protein	ssr2611; slr1550
Chr	TU1018	sll1456	unknown protein	NA
Chr	TU1019	slr1552	unknown protein	NA
Chr	TU1021	NA	NA	NA
Chr	TU1020	NA	NA	slr1552
Chr	TU1022	sll1455	hypothetical protein	slr1552
Chr	TU1024	NA	NA	sll1450; sll1451; sll1452; sll1453; ssl2814; sll1454
Chr	TU1025	NA	NA	sll1450; sll1451; sll1452; sll1453; ssl2814; sll1454
Chr	TU1023	sll1450; sll1451; sll1452; sll1453; ssl2814; sll1454	nitrate/nitrite transport system substrate-binding protein ; nitrate/nitrite transport system permease protein ; nitrate/nitrite transport system ATP-binding prote in ; nitrate/nitrite transport system ATP-binding prote in ; unknown protein ; ferredoxin-nitrate reductase	smr0013
Chr	TU1027	NA	NA	sll1634
Chr	TU1028	NA	NA	sll1634
Chr	TU1026	sll1634	hypothetical protein	NA
Chr	TU1029	slr1748	probable phosphoglycerate mutase	ssl3177
Chr	TU1030	ssl3177	rare lipoprotein A	slr1748
Chr	TU1032	NA	NA	sll1632; sll1633
Chr	TU1031	sll1633	cell division protein FtsZ	NA
Chr	TU1033	sll1632	hypothetical protein	NA
Chr	TU1035	slr1751; slr1752	periplasmic carboxyl-terminal protease ; hypothetical protein	sll1144
Chr	TU1034	NA	NA	slr1751; slr1752
Chr	TU1036	sll1144	S-adenosyl-methyltransferase MraW	slr1751; slr1752
Chr	TU1037	slr1218; slr1219	hypothetical protein YCF39 ; urease accessory protein E	NA
Chr	TU1038	NA	NA	slr1218; slr1219
Chr	TU1039	NA	NA	slr1218; slr1219
Chr	TU1040	NA	NA	slr1218; slr1219
Chr	TU1041	ncr0420; slr1220; slr1222	ncRNA; hypothetical protein ; unknown protein	sll1143
Chr	TU1042	NA	NA	ncr0420; slr1220; slr1222
Chr	TU1044	NA	NA	sll1143
Chr	TU1045	NA	NA	sll1143
Chr	TU1046	NA	NA	sll1142
Chr	TU1043	sll1143	DNA helicase II	ncr0420; slr1220; slr1222
Chr	TU1048	slr1223	cell division inhibitor	sll1142
Chr	TU1047	sll1142	hypothetical protein	slr1223
Chr	TU1049	slr1224	cytoplasmic membrane protein for maltose uptake	NA
Chr	TU1051	slr1225	protein kinase PknA	NA
Chr	TU1050	NA	NA	slr1224; slr1225
Chr	TU1052	NA	NA	slr1225
Chr	TU1053	slr1226	phosphoribosylaminoimidazolesuccinocarboxamide synthase	NA
Chr	TU1054	NA	NA	NA
Chr	TU1055	slr1227	chloroplastic outer envelope membrane protein h omolog	NA
Chr	TU1056	NA	NA	slr1227
Chr	TU1057	NA	NA	slr1227
Chr	TU1058	NA	NA	slr1227
Chr	TU1059	NA	NA	slr1227
Chr	TU1060	slr1228; slr1229; slr1230	peptide-chain-release factor 3 ; sulfate permease ; hypothetical protein	NA
Chr	TU1061	NA	NA	slr1228; slr1229; slr1230
Chr	TU1062	sll1135	unknown protein	slr1230
Chr	TU1063	slr1232	unknown protein	NA
Chr	TU1064	NA	NA	slr1232
Chr	TU1065	NA	NA	NA
Chr	TU1066	ssr2047	hypothetical protein	NA
Chr	TU1067	slr1233; ssr2049	succinate dehydrogenase flavoprotein subunit ; unknown protein	NA
Chr	TU1068	NA	NA	slr1233; ssr2049
Chr	TU1069	slr1234	protein kinase C inhibitor	NA
Chr	TU1070	slr1235; slr1236	hypothetical protein ; hypothetical protein	ssl2250
Chr	TU1072	NA	NA	ssl2250
Chr	TU1071	ssl2250	glycoprotein	slr1235; slr1236
Chr	TU1073	sll1132	unknown protein 	NA
Chr	TU1075	NA	NA	sll1131; sll1132
Chr	TU1076	NA	NA	sll1131; sll1132
Chr	TU1074	sll1131; sll1132	unknown protein ; unknown protein	NA
Chr	TU1077	slr1237	cytosine deaminase	NA
Chr	TU1079	NA	NA	ssl2245; sll1130
Chr	TU1080	NA	NA	ssl2245; sll1130
Chr	TU1078	ssl2245; sll1130	unknown protein ; unknown protein	slr1237
Chr	TU1082	NA	NA	sll1129
Chr	TU1081	sll1129	2-hydroxy-6-oxohepta-2;4-dienoate hydrolase	NA
Chr	TU1083	ssr2061; slr1238; ncr0430	glutaredoxin ; glutathione synthetase ; ncRNA	ncl0460
Chr	TU1084	ssr2062	hypothetical protein	NA
Chr	TU1085	NA	NA	ssr2062
Chr	TU1086	NA	NA	sll1127
Chr	TU1087	NA	NA	sll1127
Chr	TU1088	NA	NA	sll1127
Chr	TU1089	slr1239; slr1240; slr1241; ssr2066; ssr2067; slr1434; slr1435	pyridine nucleotide transhydrogenase alpha subunit ; unknown protein ; hypothetical protein ; hypothetical protein ; hypothetical protein ; pyridine nucleotide transhydrogenase beta subunit ; PmbA protein homolog	NA
Chr	TU1090	slr1436	hypothethical protein	NA
Chr	TU1091	slr1437; slr1438	unknown protein ; Aldose 1-epimerase	sll1362
Chr	TU1093	NA	NA	sll1362
Chr	TU1092	sll1362	isoleucyl-tRNA synthetase	slr1437; slr1438
Chr	TU1094	ssr2406	unknown protein	sll1360
Chr	TU1096	NA	NA	sll1360
Chr	TU1097	NA	NA	sll1360
Chr	TU1095	sll1360	DNA polymerase III subunit	NA
Chr	TU1098	slr1440	hypothetical protein	NA
Chr	TU1099	sll1359	unknown protein 	NA
Chr	TU1100	sll1358; sll1359	putative oxalate decarboxylase; periplasmic protei n ; unknown protein	NA
Chr	TU1102	NA	NA	sll1356
Chr	TU1101	sll1356	glycogen phosphorylase	NA
Chr	TU1103	ncr0440; slr1441	ncRNA; hypothetical protein	NA
Chr	TU1104	NA	NA	ncr0440; slr1441
Chr	TU1105	sll1355	hypothetical protein	NA
Chr	TU1106	ssl2648	hypothetical protein	NA
Chr	TU1107	NA	NA	NA
Chr	TU1108	slr1442; slr1443	hypothetical protein ; serine/threonine kinase	NA
Chr	TU1109	slr1444	hypothetical protein	NA
Chr	TU1110	ssr2422	unknown protein	6803t11
Chr	TU1111	6803t11	NA	ssr2422
Chr	TU1112	NA	NA	sll1354
Chr	TU1113	sll1354	ssDNA-specific exonuclease RecJ	NA
Chr	TU1114	NA	NA	sll1353
Chr	TU1115	sll1353	two-component sensor histidine kinase 	NA
Chr	TU1116	sll1353	sensory transduction histidine kinase	NA
Chr	TU1117	sll1352	unknown protein 	NA
Chr	TU1118	slr1448	fructokinase 	NA
Chr	TU1120	slr1449; slr1450	hypothetical protein ; unknown protein	sll1350
Chr	TU1119	NA	NA	slr1448
Chr	TU1121	NA	NA	slr1449; slr1450
Chr	TU1123	NA	NA	sll1350
Chr	TU1122	sll1350	hypothetical protein	slr1449; slr1450
Chr	TU1124	sll1349	phosphoglycolate phosphatase	NA
Chr	TU1126	NA	NA	sll1280; 6803t12; sll1281; sll1282; sll1348
Chr	TU1127	NA	NA	sll1280; 6803t12; sll1281; sll1282; sll1348
Chr	TU1125	sll1280; 6803t12; sll1281; sll1282; sll1348	hypothetical protein ; tRNA-OTHER; photosystem II PsbZ protein ; riboflavin synthase beta subunit ; hypothetical protein	NA
Chr	TU1128	NA	NA	NA
Chr	TU1129	slr1356; ncr0450; slr1357	30S ribosomal protein S1 ; ncRNA; putative transposase [ISY100_c]	sll1275; sll1276; sll1277
Chr	TU1130	NA	NA	slr1356; ncr0450; slr1357
Chr	TU1132	NA	NA	sll1275; sll1276; sll1277
Chr	TU1133	NA	NA	sll1275; sll1276; sll1277
Chr	TU1131	sll1275; sll1276; sll1277	pyruvate kinase 2 ; ATP-binding protein of ABC transporter ; RecF protein	slr1356; ncr0450; slr1357
Chr	TU1134	slr1362	hypothetical protein	sll1274
Chr	TU1135	sll1274	hypothetical protein	slr1362
Chr	TU1136	slr1363	hypothetical protein	NA
Chr	TU1137	NA	NA	slr1363
Chr	TU1138	slr1363	hypothetical protein 	NA
Chr	TU1139	slr1364; slr1365; slr1366	biotin synthetase ; hypothetical protein ; lipoprotein signal peptidase (signal peptidase II)	sll1273
Chr	TU1140	sll1273	unknown protein	slr1364; slr1365; slr1366
Chr	TU1142	NA	NA	sll1270; sll1271; ssl2507; sll1272
Chr	TU1143	NA	NA	sll1270; sll1271; ssl2507; sll1272
Chr	TU1141	sll1270; sll1271; ssl2507; sll1272	periplasmic substrate-binding and integral membran e protein of the ABC-type Bgt permease for basic amino ac ids and glutamine BgtB ; probable porin: major outer membrane protein ; unknown protein ; unknown protein	NA
Chr	TU1145	NA	NA	ncl0490; ssl2501; ssl2502
Chr	TU1144	ncl0490; ssl2501; ssl2502	ncRNA; unknown protein ; unknown protein	NA
Chr	TU1147	NA	NA	ncl0490
Chr	TU1146	ncl0490	NA	NA
Chr	TU1149	NA	NA	NA
Chr	TU1150	slr1367	glycogen phosphorylase	NA
Chr	TU1148	NA	NA	slr1367
Chr	TU1151	slr1368	precorrin-6B methylase	NA
Chr	TU1152	slr1369	phosphatidate cytidylyltransferase	sll1268
Chr	TU1154	NA	NA	sll1268
Chr	TU1153	sll1268	unknown protein	slr1369
Chr	TU1155	sll1267	unknown protein	NA
Chr	TU1156	sll1265	unknown protein 	NA
Chr	TU1157	sll1265	unknown protein 	NA
Chr	TU1158	NA	NA	sll1265
Chr	TU1159	sll1265	unknown protein	NA
Chr	TU1160	NA	NA	NA
Chr	TU1162	NA	NA	sll0877
Chr	TU1163	slr0875	large-conductance mechanosensitive channel	sll0876
Chr	TU1161	sll0877	hypothetical protein	NA
Chr	TU1164	NA	NA	slr0875
Chr	TU1165	sll0875	hypothetical protein	NA
Chr	TU1167	slr0876	hypothetical protein	NA
Chr	TU1166	NA	NA	slr0876
Chr	TU1168	NA	NA	slr0876
Chr	TU1169	NA	NA	slr0876
Chr	TU1170	ssr1480	RNA-binding protein	NA
Chr	TU1171	slr0877	aspartyl.glutamyl-tRNA amidotransferase subunit A	NA
Chr	TU1172	NA	NA	slr0877
Chr	TU1173	NA	NA	NA
Chr	TU1174	slr0879; slr0880	glycine decarboxylase complex H-protein ; similar to fibronectin binding protein	NA
Chr	TU1175	slr0880	similar to fibronectin binding protein 	NA
Chr	TU1177	NA	NA	ssl1633
Chr	TU1178	NA	NA	ssl1633
Chr	TU1176	ssl1633	high light inducible protein	NA
Chr	TU1179	slr0881	unknown protein	NA
Chr	TU1181	NA	NA	sll0872
Chr	TU1180	NA	NA	slr0881
Chr	TU1182	slr0882	hypothetical protein YCF84	NA
Chr	TU1183	NA	NA	slr0882
Chr	TU1184	slr0883	regulation of penicillin binding protein 5 production	ncl0500; sll0871
Chr	TU1185	ncl0500; sll0871	ncRNA; hypothetical protein	slr0883
Chr	TU1186	ncl0500	NA	NA
Chr	TU1187	slr0884; ncr0460	glyceraldehyde 3-phosphate dehydrogenase 1 (NAD+) ; ncRNA	Norf4
Chr	TU1188	Norf4	NA	slr0884; ncr0460
Chr	TU1189	NA	NA	NA
Chr	TU1190	NA	NA	NA
Chr	TU1191	ncr0470; slr0885	ncRNA; hypothetical protein	sll0869
Chr	TU1192	sll0869	leucyl.phenylalanyl-tRNA--protein transferase	NA
Chr	TU1194	NA	NA	sll0867; sll0868
Chr	TU1193	sll0867; sll0868	hypothetical protein ; lipoic acid synthetase	NA
Chr	TU1195	slr0887	hypothetical protein	NA
Chr	TU1196	slr0888; slr0889	hypothetical protein ; hypothetical protein	NA
Chr	TU1197	slr0890	unknown protein	NA
Chr	TU1198	NA	NA	sll0865
Chr	TU1199	sll0865	excinuclease ABC subunit C	NA
Chr	TU1201	NA	NA	sll1316; sll1317; sll0860; sll0861; sll0862; sll0863
Chr	TU1202	NA	NA	sll1316; sll1317; sll0860; sll0861; sll0862; sll0863
Chr	TU1200	sll1316; sll1317; sll0860; sll0861; sll0862; sll0863	cytochrome b6-f complex iron-sulfur subunit (Riesk e iron sulfur protein) ; apocytochrome f; component of cytochrome b6/f comp lex ; hypothetical protein ; hypothetical protein ; hypothetical protein ; hypothetical protein	NA
Chr	TU1204	smr0009	NA	sll1315; ssl2595
Chr	TU1203	ssl2598	photosystem II reaction center protein H	NA
Chr	TU1205	ssl2595	hypothetical protein	smr0009
Chr	TU1206	NA	NA	smr0009
Chr	TU1207	NA	NA	sll1315
Chr	TU1208	NA	NA	sll1314
Chr	TU1209	slr1403	integrin subunits alpha.beta4	NA
Chr	TU1210	slr1403	unknown protein 	NA
Chr	TU1211	NA	NA	slr1403
Chr	TU1212	NA	NA	slr1403
Chr	TU1213	NA	NA	slr1403
Chr	TU1214	NA	NA	slr1403
Chr	TU1215	slr1403	unknown protein 	NA
Chr	TU1216	NA	NA	NA
Chr	TU1217	NA	NA	NA
Chr	TU1218	NA	NA	slr1403
Chr	TU1219	NA	NA	sll1308
Chr	TU1221	NA	NA	sll1308
Chr	TU1220	sll1308	short chain dehydrogenase	slr1403
Chr	TU1222	NA	NA	NA
Chr	TU1223	slr1406; slr1407; slr1409; slr1410	periplasmic protein; function unknown ; unknown protein ; periplasmic WD-repeat protein ; periplasmic WD-repeat protein	sll1783; sll1784; ssl3410; sll1785; sll1304; sll1305; sll1306; sll1307
Chr	TU1225	NA	NA	sll1783; sll1784; ssl3410; sll1785; sll1304; sll1305; sll1306; sll1307
Chr	TU1226	NA	NA	sll1783; sll1784; ssl3410; sll1785; sll1304; sll1305; sll1306; sll1307
Chr	TU1224	sll1783; sll1784; ssl3410; sll1785; sll1304; sll1305; sll1306; sll1307	hypothetical protein ; periplasmic protein; function unknown ; unknown protein ; periplasmic protein; function unknown ; unknown protein ; probable hydrolase ; periplasmic protein; function unknown ; periplasmic protein; function unknown	slr1406; slr1407; slr1409; slr1410
Chr	TU1227	ncr0480; slr1852; slr1853; slr1854; slr1855; slr1856; slr1857; slr1859; slr1860; slr1861	ncRNA; unknown protein ; carboxymuconolactone decarboxylase ; unknown protein ; unknown protein ; phosphoprotein substrate of icfG gene cluster ; isoamylase ; anti-sigma f factor antagonist ; carbon metabolisms regulatory protein IcfG ; probable sigma regulatory factor	NA
Chr	TU1228	NA	NA	ncr0480; slr1852; slr1853; slr1854; slr1855; slr1856; slr1857; slr1859; slr1860; slr1861
Chr	TU1229	NA	NA	ncr0480; slr1852; slr1853; slr1854; slr1855; slr1856; slr1857; slr1859; slr1860; slr1861
Chr	TU1230	slr1862	unknown protein	sll1780
Chr	TU1232	slr1863; slr1864	unknown protein ; hypothetical protein	sll1780
Chr	TU1231	sll1780	transposase	slr1862; slr1863; slr1864
Chr	TU1233	slr1865; slr1866	unknown protein ; unknown protein	NA
Chr	TU1234	NA	NA	slr1865; slr1866
Chr	TU1235	slr1867	anthranilate phosphoribosyltransferase	NA
Chr	TU1236	NA	NA	slr1867
Chr	TU1238	NA	NA	sll1775; sll1776
Chr	TU1237	sll1775; sll1776	hypothetical protein ; deoxyribose-phosphate aldolase	NA
Chr	TU1240	ncr0490; ssr3154	ncRNA; hypothetical protein	NA
Chr	TU1239	NA	NA	ncr0490; ssr3154
Chr	TU1241	sll1774	hypothethical protein	NA
Chr	TU1242	slr1869; ssr3159	unknown protein ; unknown protein	NA
Chr	TU1243	NA	NA	slr1869; ssr3159
Chr	TU1244	NA	NA	slr1869; ssr3159
Chr	TU1245	slr1870; ncr0500	hypothetical protein ; ncRNA	sll1773; ssl3389; ncl0520
Chr	TU1247	NA	NA	sll1773; ssl3389; ncl0520
Chr	TU1246	sll1773; ssl3389; ncl0520	hypothetical protein ; hypothetical protein ; ncRNA	slr1870; ncr0500
Chr	TU1248	NA	NA	slr1871
Chr	TU1250	NA	NA	ssl3382; ssl3383; sll1769; sll1770; sll1771; sll1772
Chr	TU1251	NA	NA	ssl3382; ssl3383; sll1769; sll1770; sll1771; sll1772
Chr	TU1252	NA	NA	sll1768; ssl3382; ssl3383; sll1769; sll1770; sll1771; sll1772
Chr	TU1249	ssl3382; ssl3383; sll1769; sll1770; sll1771; sll1772	hypothetical protein ; unknown protein ; hypothetical protein ; hypothetical protein ; protein serin-threonin phosphatase ; DNA mismatch repair protein MutS	NA
Chr	TU1253	sll1768	binding protein-dependent transport system protein OppB	NA
Chr	TU1254	slr1874; slr1875	D-alanine--D-alanine ligase ; hypothetical protein	NA
Chr	TU1255	NA	NA	ssl3379
Chr	TU1256	ssl3379	ATP-dependent Clp protease adaptor	NA
Chr	TU1257	NA	NA	slr1876
Chr	TU1259	NA	NA	sll1767
Chr	TU1258	sll1767	30S ribosomal protein S6	NA
Chr	TU1260	slr1877; slr1878	2-hydroxyhepta-2;4-diene-1;7-dioate isomerase ; phycocyanin alpha-subunit phycocyanobilin lyase	sll1764; sll1765; sll1766
Chr	TU1261	NA	NA	slr1877; slr1878
Chr	TU1262	sll1764; sll1765; sll1766	unknown protein ; unknown protein ; hypothetical protein	slr1877; slr1878
Chr	TU1263	sll1763	unknown protein	NA
Chr	TU1264	sll1762	periplasmic protein; putative polar amino acid transport system substrate-binding protein	NA
Chr	TU1265	NA	NA	sll1760
Chr	TU1266	sll1760	homoserine kinase	NA
Chr	TU1268	NA	NA	sll1758
Chr	TU1267	sll1758	phosphoglucosamine mutase	slr1880
Chr	TU1269	ssr3184; slr1881; slr1882	4Fe-4S type iron-sulfur protein ; ATP-binding subunit of the ABC-type Nat permease f or neutral amino acids ; riboflavin biosynthesis protein RibF	sll1757
Chr	TU1270	NA	NA	ssr3184; slr1881; slr1882
Chr	TU1272	ssr3188	hypothetical protein	ssl3364; sll1757
Chr	TU1271	sll1757	hypothetical protein	ssr3184; slr1881; slr1882; ssr3188
Chr	TU1273	ssl3364	CP12 polypeptide	ssr3188
Chr	TU1275	slr1884	tryptophanyl-tRNA synthetase	NA
Chr	TU1274	NA	NA	slr1884
Chr	TU1276	ssr3189; slr1885	hypothetical protein ; hypothetical protein	NA
Chr	TU1277	slr1886	iojap protein	sll1755
Chr	TU1278	NA	NA	slr1886
Chr	TU1279	NA	NA	slr1886
Chr	TU1280	sll1755	unknown protein	NA
Chr	TU1281	slr1887	porphobilinogen deaminase	NA
Chr	TU1282	slr1888	4-hydroxybutyrate coenzyme A transferase.	NA
Chr	TU1283	NA	NA	slr2132
Chr	TU1284	NA	NA	slr2132
Chr	TU1285	NA	NA	slr2132
Chr	TU1287	NA	NA	sll2015
Chr	TU1286	sll2015	hypothetical protein	NA
Chr	TU1289	NA	NA	ncl0530; sll2012; sll2013; sll2014
Chr	TU1290	NA	NA	sll2010; sll2011; ncl0530; sll2012; sll2013; sll2014
Chr	TU1288	ncl0530; sll2012; sll2013; sll2014	ncRNA; group2 RNA polymerase sigma factor SigD ; hypothetical protein ; sugar fermentation stimulation protein	NA
Chr	TU1292	NA	NA	sll2010; sll2011
Chr	TU1293	NA	NA	sll2010; sll2011
Chr	TU1294	NA	NA	sll2010; sll2011
Chr	TU1291	sll2010; sll2011	UDP-N-acetylmuramoylalanine--D-glutamate ligase ; hypothetical protein	NA
Chr	TU1295	sll2008; sll2009	processing protease ; processing protease	NA
Chr	TU1296	slr2135	hydrogenase accessory protein HupE 	NA
Chr	TU1297	slr2136	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	sml0007; ssl3829; sll2005; sll2006; sll2007
Chr	TU1299	NA	NA	sml0007; ssl3829; sll2005; sll2006; sll2007
Chr	TU1298	sml0007; ssl3829; sll2005; sll2006; sll2007	photosystem II protein Y ; hypothetical protein ; DNA gyrase B subunit [Contains: Ssp gyrB intein] ; hypothetical protein ; hypothetical protein	slr2136
Chr	TU1300	NA	NA	sll2003
Chr	TU1301	NA	NA	NA
Chr	TU1302	NA	NA	sll2003
Chr	TU1303	NA	NA	NA
Chr	TU1304	sll2003	hypothetical protein	NA
Chr	TU1306	slr2143	isopenicillin N epimerase	sll2002
Chr	TU1305	NA	NA	slr2143
Chr	TU1307	sll2002	hypothetical protein	slr2143
Chr	TU1308	slr2144; slr1803	periplasmic protein; function unknown ; adenine-specific DNA metylase	ssl3291; sll1709; sll1710
Chr	TU1309	NA	NA	slr2144; slr1803
Chr	TU1311	NA	NA	ssl3291; sll1709; sll1710
Chr	TU1310	ssl3291; sll1709; sll1710	hypothetical protein ; 3-ketoacyl-acyl carrier protein reductase ; putative transposase [ISY523_b]	slr2144; slr1803
Chr	TU1313	NA	NA	sll1708
Chr	TU1312	sll1708	NarL subfamily protein	NA
Chr	TU1314	slr1804; slr1805	unknown protein ; two-component sensor histidine kinase	sll1704
Chr	TU1315	NA	NA	slr1804; slr1805
Chr	TU1316	NA	NA	slr1804; slr1805
Chr	TU1317	slr1807	hypothetical protein	sll1702; sll1703
Chr	TU1318	sll1702; sll1703	hypothetical protein YCF51 ; protease IV	slr1807
Chr	TU1319	slr1808	glutamyl-tRNA reductase	NA
Chr	TU1320	NA	NA	slr1808
Chr	TU1321	slr1809	unknown protein	ncl0540; sll1698; sll1699
Chr	TU1323	NA	NA	ncl0540; sll1698; sll1699
Chr	TU1322	nsiR4; sll1698; sll1699	ncRNA; hypothetical protein ; oligopeptide-binding protein of oligopeptide ABC t ransporter	slr1809
Chr	TU1324	sll1697	hypothetical protein	NA
Chr	TU1325	slr1811; slr1812	hypothetical protein ; hypothetical protein	NA
Chr	TU1326	slr1813; slr1814	hypothetical protein ; hypothetical protein	NA
Chr	TU1327	NA	NA	slr1813; slr1814
Chr	TU1328	slr1815; slr1816	hypothetical protein ; hypothetical protein	sll1694; sll1695; sll1696
Chr	TU1329	NA	NA	slr1815; slr1816
Chr	TU1331	NA	NA	sll1694; sll1695; sll1696
Chr	TU1330	sll1694; sll1695; sll1696	pilin polypeptide PilA1 ; pilin polypeptide PilA2 ; hypothetical protein	slr1815; slr1816
Chr	TU1333	NA	NA	sll1693
Chr	TU1332	sll1693	hypothetical protein	NA
Chr	TU1334	slr1818	hypothetical protein	sll1692
Chr	TU1336	slr1819	hypothetical protein	ncl0560; sll1689; sll1691; sll1692
Chr	TU1335	sll1692	hypothetical protein	slr1818; slr1819
Chr	TU1337	NA	NA	slr1819
Chr	TU1338	ncl0560; sll1689	ncRNA; group2 RNA polymerase sigma factor SigE	slr1819
Chr	TU1339	NA	NA	NA
Chr	TU1340	sll1688	threonine synthase	NA
Chr	TU1342	NA	NA	ncl0570; sll1687
Chr	TU1343	NA	NA	ncl0570; sll1687
Chr	TU1344	slr1821; slr1822	hypothetical protein ; endonuclease III	ncl0570; sll1687
Chr	TU1341	ncl0570; sll1687	ncRNA; unknown protein	slr1820; slr1821; slr1822
Chr	TU1345	slr1732	hypothetical protein	sll1631
Chr	TU1346	NA	NA	slr1732
Chr	TU1348	NA	NA	sll1628; sll1629; sll1630; sll1631
Chr	TU1347	sll1628; sll1629; sll1630; sll1631	hypothetical protein ; bacterial cryptochrome ; unknown protein ; putative cytidine and deoxycytidylate deaminase	NA
Chr	TU1349	slr1734	OxPPCycle gene	NA
Chr	TU1350	slr1735	ABC transporter	NA
Chr	TU1351	DsiR3	NA	NA
Chr	TU1352	sll1626	SOS function regulatory protein	NA
Chr	TU1354	NA	NA	sll1625
Chr	TU1353	sll1625	succinate dehydrogenase iron-sulfur subunit	NA
Chr	TU1355	sll1624; ncl0580	two-component response regulator ; ncRNA	NA
Chr	TU1356	sll1623	ABC transporter	NA
Chr	TU1357	slr1736; slr1737	homogentisate phytyltransferase ; hypothetical protein	sll1621
Chr	TU1358	NA	NA	slr1736; slr1737
Chr	TU1359	sll1621	membrane protein	slr1736; slr1737
Chr	TU1360	ncr0510; slr1738	ncRNA; transcription regulator Fur family	sll1620
Chr	TU1361	sll1620	hypothetical protein	ncr0510; slr1738
Chr	TU1362	slr1739	photosystem II protein	NA
Chr	TU1363	slr1740	ABC transporter substrate-binding protein	NA
Chr	TU1365	NA	NA	sll1618; 6803t13
Chr	TU1364	sll1618; 6803t13	hypothetical protein ; tRNA-OTHER	slr1740
Chr	TU1366	slr1742	probable cobyric acid synthase	NA
Chr	TU1367	slr1743	NADH dehydrogenase	NA
Chr	TU1368	NA	NA	NA
Chr	TU1369	slr1744	N-acetylmuramoyl-L-alanine amidase	NA
Chr	TU1370	NA	NA	slr1744
Chr	TU1371	NA	NA	slr1744
Chr	TU1372	NA	NA	NA
Chr	TU1373	slr1746; ncr0520	glutamate racemase ; ncRNA	NA
Chr	TU1374	slr1747	cell death suppressor protein Lls1 homolog	NA
Chr	TU1375	slr0851	NADH dehydrogenase	NA
Chr	TU1376	NA	NA	slr0851
Chr	TU1377	slr0852; slr0853	hypothetical protein ; ribosomal-protein-alanine acetyltransferase	NA
Chr	TU1378	slr0854	deoxyribopyrimidine photolyase	NA
Chr	TU1379	NA	NA	sll0856; sll0857; sll0858
Chr	TU1380	sll0856; sll0857; sll0858	RNA polymerase ECF-type (group 3) sigma-E factor ; unknown protein ; hypothetical protein	slr0854
Chr	TU1382	NA	NA	sll0853; sll0854; sll0855
Chr	TU1381	sll0853; sll0854; sll0855	hypothetical protein ; hypothetical protein ; putative channel transporter	NA
Chr	TU1384	slr0856; slr0857	putative transposase [ISY100_l] ; putative transposase [ISY100_l]	NA
Chr	TU1383	NA	NA	slr0856; slr0857
Chr	TU1385	NA	NA	sll0849; sll0851
Chr	TU1387	NA	NA	sll0849; sll0851
Chr	TU1386	sll0849; sll0851	photosystem II reaction center D2 protein ; photosystem II CP43 protein	slr0857
Chr	TU1388	SyR53	NA	NA
Chr	TU1389	sll0847	unknown protein 	NA
Chr	TU1391	NA	NA	sll0847
Chr	TU1392	slr0861	phosphoribosylglycinamide formyltransferase 2	sll0846; sll0847
Chr	TU1390	sll0847	unknown protein	slr0861
Chr	TU1393	NA	NA	slr0861
Chr	TU1394	sll0846	hypothetical protein	slr0861
Chr	TU1395	slr0862	LmbP protein	NA
Chr	TU1396	slr0863	hypothetical protein	sll0844
Chr	TU1397	sll0844	tRNA-specific 2-thiouridylase MnmA	slr0863
