GO_ID	term
GO:0002161	aminoacyl-tRNA editing activity
GO:0015813	L-glutamate transmembrane transport
GO:0015501	glutamate:sodium symporter activity
GO:0004802	transketolase activity
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity
GO:0033817	beta-ketoacyl-acyl-carrier-protein synthase II activity
GO:0000036	acyl carrier activity
GO:0048037	cofactor binding
GO:0031177	phosphopantetheine binding
GO:0000035	acyl binding
GO:0006879	cellular iron ion homeostasis
GO:0006826	iron ion transport
GO:0008199	ferric iron binding
GO:0008097	5S rRNA binding
GO:0022625	cytosolic large ribosomal subunit
GO:0006164	purine nucleotide biosynthetic process
GO:0004019	adenylosuccinate synthase activity
GO:0044208	'de novo' AMP biosynthetic process
GO:0046040	IMP metabolic process
GO:0003729	mRNA binding
GO:0017148	negative regulation of translation
GO:0031119	tRNA pseudouridine synthesis
GO:0106029	tRNA pseudouridine synthase activity
GO:0006350	GO:0006350
GO:0006351	transcription, DNA-templated
GO:0003899	DNA-directed 5'-3' RNA polymerase activity
GO:0046983	protein dimerization activity
GO:0000028	ribosomal small subunit assembly
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0048027	mRNA 5'-UTR binding
GO:0070181	small ribosomal subunit rRNA binding
GO:0019201	GO:0019201
GO:0016776	phosphotransferase activity, phosphate group as acceptor
GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity
GO:0005048	signal sequence binding
GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation
GO:0031522	cell envelope Sec protein transport complex
GO:0043952	protein transport by the Sec complex
GO:0015935	small ribosomal subunit
GO:0002181	cytoplasmic translation
GO:0000027	ribosomal large subunit assembly
GO:0005762	mitochondrial large ribosomal subunit
GO:0070180	large ribosomal subunit rRNA binding
GO:0042255	ribosome assembly
GO:0016722	oxidoreductase activity, oxidizing metal ions
GO:0008198	ferrous iron binding
GO:0009773	photosynthetic electron transport in photosystem I
GO:0031977	thylakoid lumen
GO:0003991	acetylglutamate kinase activity
GO:0034618	arginine binding
GO:0032549	ribonucleoside binding
GO:0016888	endodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0019478	D-amino acid catabolic process
GO:0051499	D-aminoacyl-tRNA deacylase activity
GO:0004003	ATP-dependent DNA helicase activity
GO:0000725	recombinational repair
GO:0003678	DNA helicase activity
GO:0051276	chromosome organization
GO:0007062	sister chromatid cohesion
GO:0030261	chromosome condensation
GO:0009294	DNA mediated transformation
GO:0051920	peroxiredoxin activity
GO:0030983	mismatched DNA binding
GO:0032300	mismatch repair complex
GO:0009279	cell outer membrane
GO:0003855	3-dehydroquinate dehydratase activity
GO:0008173	RNA methyltransferase activity
GO:0070041	rRNA (uridine-C5-)-methyltransferase activity
GO:0009097	isoleucine biosynthetic process
GO:0004794	L-threonine ammonia-lyase activity
GO:0000917	division septum assembly
GO:0043093	FtsZ-dependent cytokinesis
GO:0005976	polysaccharide metabolic process
GO:0044267	cellular protein metabolic process
GO:0006458	'de novo' protein folding
GO:1990220	GroEL-GroES complex
GO:0004107	chorismate synthase activity
GO:0006417	regulation of translation
GO:0032968	positive regulation of transcription elongation from RNA polymerase II promoter
GO:0003711	transcription elongation regulator activity
GO:0006353	DNA-templated transcription, termination
GO:0006354	DNA-templated transcription, elongation
GO:0031564	transcription antitermination
GO:0032784	regulation of DNA-templated transcription, elongation
GO:0006886	intracellular protein transport
GO:0006605	protein targeting
GO:0065002	intracellular protein transmembrane transport
GO:0042619	poly-hydroxybutyrate biosynthetic process
GO:0016746	transferase activity, transferring acyl groups
GO:0016168	chlorophyll binding
GO:0030259	lipid glycosylation
GO:0030246	carbohydrate binding
GO:0031388	organic acid phosphorylation
GO:0008887	glycerate kinase activity
GO:0004124	cysteine synthase activity
GO:0080146	L-cysteine desulfhydrase activity
GO:0006006	glucose metabolic process
GO:0004345	glucose-6-phosphate dehydrogenase activity
GO:0006289	nucleotide-excision repair
GO:0009380	excinuclease repair complex
GO:0009381	excinuclease ABC activity
GO:0004386	helicase activity
GO:0009378	four-way junction helicase activity
GO:0030894	replisome
GO:0032508	DNA duplex unwinding
GO:0043590	bacterial nucleoid
GO:0046140	corrin biosynthetic process
GO:0019388	galactose catabolic process
GO:0033499	galactose catabolic process via UDP-galactose
GO:0008685	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity
GO:0006855	drug transmembrane transport
GO:0015297	antiporter activity
GO:0015238	drug transmembrane transporter activity
GO:0042910	xenobiotic transmembrane transporter activity
GO:0006352	DNA-templated transcription, initiation
GO:0016987	sigma factor activity
GO:0042586	peptide deformylase activity
GO:0031365	N-terminal protein amino acid modification
GO:0043686	co-translational protein modification
GO:0006430	lysyl-tRNA aminoacylation
GO:0004824	lysine-tRNA ligase activity
GO:0030151	molybdenum ion binding
GO:0019333	denitrification pathway
GO:0043546	molybdopterin cofactor binding
GO:0015706	nitrate transport
GO:0015112	nitrate transmembrane transporter activity
GO:0016998	cell wall macromolecule catabolic process
GO:0006032	chitin catabolic process
GO:0042742	defense response to bacterium
GO:0050832	defense response to fungus
GO:0004568	chitinase activity
GO:0051258	protein polymerization
GO:0043234	GO:0043234
GO:0032153	cell division site
GO:0032506	cytokinetic process
GO:0071424	rRNA (cytosine-N4-)-methyltransferase activity
GO:0018307	enzyme active site formation
GO:0006268	DNA unwinding involved in DNA replication
GO:0004674	protein serine/threonine kinase activity
GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
GO:0019867	outer membrane
GO:0006415	translational termination
GO:0016149	translation release factor activity, codon specific
GO:0006449	regulation of translational termination
GO:0016150	translation release factor activity, codon nonspecific
GO:0015116	sulfate transmembrane transporter activity
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors
GO:0004362	glutathione-disulfide reductase activity
GO:0006750	glutathione biosynthetic process
GO:0004363	glutathione synthase activity
GO:0009234	menaquinone biosynthetic process
GO:0008935	1,4-dihydroxy-2-naphthoyl-CoA synthase activity
GO:0008750	NAD(P)+ transhydrogenase (AB-specific) activity
GO:0008746	NAD(P)+ transhydrogenase activity
GO:0006428	isoleucyl-tRNA aminoacylation
GO:0004822	isoleucine-tRNA ligase activity
GO:0032543	mitochondrial translation
GO:0045735	nutrient reservoir activity
GO:0033609	oxalate metabolic process
GO:0004645	phosphorylase activity
GO:0008184	glycogen phosphorylase activity
GO:0102250	linear malto-oligosaccharide phosphorylase activity
GO:0102499	SHG alpha-glucan phosphorylase activity
GO:0008409	5'-3' exonuclease activity
GO:0008616	queuosine biosynthetic process
GO:0052693	epoxyqueuosine reductase activity
GO:0009231	riboflavin biosynthetic process
GO:0009349	riboflavin synthase complex
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity
GO:0000731	DNA synthesis involved in DNA repair
GO:0006302	double-strand break repair
GO:0030955	potassium ion binding
GO:0004743	pyruvate kinase activity
GO:0009102	biotin biosynthetic process
GO:0051186	cofactor metabolic process
GO:0004076	biotin synthase activity
GO:0008276	protein methyltransferase activity
GO:0004605	phosphatidate cytidylyltransferase activity
GO:0016024	CDP-diacylglycerol biosynthetic process
GO:0005216	ion channel activity
GO:0009992	cellular water homeostasis
GO:0009379	Holliday junction helicase complex
GO:0070221	sulfide oxidation, using sulfide:quinone oxidoreductase
GO:0070224	sulfide:quinone oxidoreductase activity
GO:0005634	nucleus
GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
GO:0004040	amidase activity
GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex
GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity
GO:0006546	glycine catabolic process
GO:0005960	glycine cleavage complex
GO:0019464	glycine decarboxylation via glycine cleavage system
GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GO:0008943	GO:0008943
GO:0008914	leucyltransferase activity
GO:0004032	alditol:NADP+ 1-oxidoreductase activity
GO:0008106	alcohol dehydrogenase (NADP+) activity
GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
GO:0102131	3-oxo-glutaryl-[acp] methyl ester reductase activity
GO:0102132	3-oxo-pimeloyl-[acp] methyl ester reductase activity
GO:0004084	branched-chain-amino-acid transaminase activity
GO:0006974	cellular response to DNA damage stimulus
GO:0046348	amino sugar catabolic process
GO:0016835	carbon-oxygen lyase activity
GO:0009254	peptidoglycan turnover
GO:0016803	ether hydrolase activity
GO:0097173	N-acetylmuramic acid catabolic process
GO:0031361	integral component of thylakoid membrane
GO:0016679	oxidoreductase activity, acting on diphenols and related substances as donors
GO:0009496	plastoquinol--plastocyanin reductase activity
GO:0008121	ubiquinol-cytochrome-c reductase activity
GO:0050821	protein stabilization
GO:0042301	phosphate ion binding
GO:0017000	antibiotic biosynthetic process
GO:0006013	mannose metabolic process
GO:0004476	mannose-6-phosphate isomerase activity
GO:0004888	transmembrane signaling receptor activity
GO:0004048	anthranilate phosphoribosyltransferase activity
GO:0009264	deoxyribonucleotide catabolic process
GO:0004139	deoxyribose-phosphate aldolase activity
GO:0016052	carbohydrate catabolic process
GO:0046386	deoxyribose phosphate catabolic process
GO:0006680	glucosylceramide catabolic process
GO:0004348	glucosylceramidase activity
GO:0008422	beta-glucosidase activity
GO:0043231	intracellular membrane-bounded organelle
GO:0045005	DNA-dependent DNA replication maintenance of fidelity
GO:0003684	damaged DNA binding
GO:0008094	DNA-dependent ATPase activity
GO:0045910	negative regulation of DNA recombination
GO:0046467	membrane lipid biosynthetic process
GO:1901031	regulation of response to reactive oxygen species
GO:0005618	cell wall
GO:0008716	D-alanine-D-alanine ligase activity
GO:0008360	regulation of cell shape
GO:0071555	cell wall organization
GO:0008047	enzyme activator activity
GO:0004175	endopeptidase activity
GO:0016485	protein processing
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity
GO:0006566	threonine metabolic process
GO:0004413	homoserine kinase activity
GO:0009088	threonine biosynthetic process
GO:0016868	intramolecular transferase activity, phosphotransferases
GO:0008966	phosphoglucosamine mutase activity
GO:0004615	phosphomannomutase activity
GO:0006048	UDP-N-acetylglucosamine biosynthetic process
GO:0003919	FMN adenylyltransferase activity
GO:0008531	riboflavin kinase activity
GO:0006747	FAD biosynthetic process
GO:0009398	FMN biosynthetic process
GO:0006436	tryptophanyl-tRNA aminoacylation
GO:0004830	tryptophan-tRNA ligase activity
GO:0033014	tetrapyrrole biosynthetic process
GO:0004418	hydroxymethylbilane synthase activity
GO:0006783	heme biosynthetic process
GO:0018160	peptidyl-pyrromethane cofactor linkage
GO:0006084	acetyl-CoA metabolic process
GO:0003986	acetyl-CoA hydrolase activity
GO:0006083	acetate metabolic process
GO:0008775	acetate CoA-transferase activity
GO:0019679	propionate metabolic process, methylcitrate cycle
GO:0016407	acetyltransferase activity
GO:0008959	phosphate acetyltransferase activity
GO:0016840	carbon-nitrogen lyase activity
GO:1904047	S-adenosyl-L-methionine binding
GO:0008764	UDP-N-acetylmuramoylalanine-D-glutamate ligase activity
GO:0046429	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity
GO:0006555	methionine metabolic process
GO:0004489	methylenetetrahydrofolate reductase (NAD(P)H) activity
GO:0008705	methionine synthase activity
GO:0006306	DNA methylation
GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity
GO:0008883	glutamyl-tRNA reductase activity
GO:0004764	shikimate 3-dehydrogenase (NADP+) activity
GO:1904680	peptide transmembrane transporter activity
GO:0015628	protein secretion by the type II secretion system
GO:0015627	type II protein secretion system complex
GO:0004795	threonine synthase activity
GO:0006284	base-excision repair
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0006285	base-excision repair, AP site formation
GO:0019104	DNA N-glycosylase activity
GO:0140078	class I DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0002100	tRNA wobble adenosine to inosine editing
GO:0052717	tRNA-specific adenosine-34 deaminase activity
GO:0052718	tRNA-specific adenosine-34 deaminase complex
GO:0003913	DNA photolyase activity
GO:0015424	amino acid-transporting ATPase activity
GO:0001217	bacterial-type RNA polymerase transcriptional repressor activity, sequence-specific DNA binding
GO:0045893	positive regulation of transcription, DNA-templated
GO:0004659	prenyltransferase activity
GO:0010189	vitamin E biosynthetic process
GO:0008379	thioredoxin peroxidase activity
GO:0042744	hydrogen peroxide catabolic process
GO:0044212	transcription regulatory region DNA binding
GO:1900376	regulation of secondary metabolite biosynthetic process
GO:0042884	microcin transport
GO:0008881	glutamate racemase activity
GO:0016855	racemase and epimerase activity, acting on amino acids and derivatives
GO:0006474	N-terminal protein amino acid acetylation
GO:0003904	deoxyribodipyrimidine photo-lyase activity
GO:0042597	periplasmic space
GO:0006821	chloride transport
GO:0005247	voltage-gated chloride channel activity
GO:0031404	chloride ion binding
GO:0009521	photosystem
GO:0006270	DNA replication initiation
GO:0006275	regulation of DNA replication
GO:0003688	DNA replication origin binding
GO:0009152	purine ribonucleotide biosynthetic process
GO:0016742	hydroxymethyl-, formyl- and related transferase activity
GO:0004644	phosphoribosylglycinamide formyltransferase activity
GO:0043815	phosphoribosylglycinamide formyltransferase 2 activity
GO:0002143	tRNA wobble position uridine thiolation
GO:0016783	sulfurtransferase activity
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
GO:0004590	orotidine-5'-phosphate decarboxylase activity
GO:0044205	'de novo' UMP biosynthetic process
GO:0032136	adenine/cytosine mispair binding
GO:0035556	intracellular signal transduction
GO:0006817	phosphate ion transport
GO:0005315	inorganic phosphate transmembrane transporter activity
GO:0015114	phosphate ion transmembrane transporter activity
GO:0015415	ATPase-coupled phosphate ion transmembrane transporter activity
GO:0016018	cyclosporin A binding
GO:0006729	tetrahydrobiopterin biosynthetic process
GO:0008124	4-alpha-hydroxytetrahydrobiopterin dehydratase activity
GO:0016117	carotenoid biosynthetic process
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0016166	phytoene dehydrogenase activity
GO:0004310	farnesyl-diphosphate farnesyltransferase activity
GO:0006696	ergosterol biosynthetic process
GO:0016767	geranylgeranyl-diphosphate geranylgeranyltransferase activity
GO:0051996	squalene synthase activity
GO:0005234	extracellularly glutamate-gated ion channel activity
GO:0004970	ionotropic glutamate receptor activity
GO:0015276	ligand-gated ion channel activity
GO:0006749	glutathione metabolic process
GO:0050313	sulfur dioxygenase activity
GO:0070813	hydrogen sulfide metabolic process
GO:0004437	GO:0004437
GO:0004400	histidinol-phosphate transaminase activity
GO:0015250	water channel activity
GO:0003917	DNA topoisomerase type I activity
GO:0006479	protein methylation
GO:0006564	L-serine biosynthetic process
GO:0004617	phosphoglycerate dehydrogenase activity
GO:0004602	glutathione peroxidase activity
GO:0003985	acetyl-CoA C-acetyltransferase activity
GO:0003988	acetyl-CoA C-acyltransferase activity
GO:0006635	fatty acid beta-oxidation
GO:0018454	acetoacetyl-CoA reductase activity
GO:0044260	cellular macromolecule metabolic process
GO:0009059	macromolecule biosynthetic process
GO:0071160	cyanophycin synthetase activity (L-aspartate-adding)
GO:0071161	cyanophycin synthetase activity (L-arginine-adding)
GO:0007264	small GTPase mediated signal transduction
GO:0002098	tRNA wobble uridine modification
GO:0005388	calcium-transporting ATPase activity
GO:0004326	tetrahydrofolylpolyglutamate synthase activity
GO:0016836	hydro-lyase activity
GO:0004317	3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity
GO:0008659	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity
GO:0008693	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity
GO:0047451	3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity
GO:0019295	coenzyme M biosynthetic process
GO:0050532	2-phosphosulfolactate phosphatase activity
GO:0050545	sulfopyruvate decarboxylase activity
GO:0006422	aspartyl-tRNA aminoacylation
GO:0004815	aspartate-tRNA ligase activity
GO:0050560	aspartate-tRNA(Asn) ligase activity
GO:0009247	glycolipid biosynthetic process
GO:0015658	branched-chain amino acid transmembrane transporter activity
GO:0015803	branched-chain amino acid transport
GO:0048511	rhythmic process
GO:0015385	sodium:proton antiporter activity
GO:0015386	potassium:proton antiporter activity
GO:0051453	regulation of intracellular pH
GO:0071805	potassium ion transmembrane transport
GO:0098719	sodium ion import across plasma membrane
GO:0008556	potassium-transporting ATPase activity
GO:0009593	detection of chemical stimulus
GO:0008817	cob(I)yrinic acid a,c-diamide adenosyltransferase activity
GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor
GO:0044255	cellular lipid metabolic process
GO:0015937	coenzyme A biosynthetic process
GO:0015941	pantothenate catabolic process
GO:0004632	phosphopantothenate--cysteine ligase activity
GO:0004633	phosphopantothenoylcysteine decarboxylase activity
GO:0010106	cellular response to iron ion starvation
GO:0043023	ribosomal large subunit binding
GO:0004181	metallocarboxypeptidase activity
GO:0005615	extracellular space
GO:0004359	glutaminase activity
GO:0006543	glutamine catabolic process
GO:0006571	tyrosine biosynthetic process
GO:0004665	prephenate dehydrogenase (NADP+) activity
GO:0004096	catalase activity
GO:0004601	peroxidase activity
GO:0070301	cellular response to hydrogen peroxide
GO:0009082	branched-chain amino acid biosynthetic process
GO:0003984	acetolactate synthase activity
GO:0019746	hopanoid biosynthetic process
GO:0006071	glycerol metabolic process
GO:0006094	gluconeogenesis
GO:0019253	reductive pentose-phosphate cycle
GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity
GO:0050278	sedoheptulose-bisphosphatase activity
GO:0015671	oxygen transport
GO:0019825	oxygen binding
GO:0005344	oxygen carrier activity
GO:0006614	SRP-dependent cotranslational protein targeting to membrane
GO:0005047	signal recognition particle binding
GO:0031226	intrinsic component of plasma membrane
GO:0043772	acyl-phosphate glycerol-3-phosphate acyltransferase activity
GO:0006168	adenine salvage
GO:0003999	adenine phosphoribosyltransferase activity
GO:0002055	adenine binding
GO:0006166	purine ribonucleoside salvage
GO:0009307	DNA restriction-modification system
GO:0000150	recombinase activity
GO:0015711	organic anion transport
GO:0008508	bile acid:sodium symporter activity
GO:0006433	prolyl-tRNA aminoacylation
GO:0004827	proline-tRNA ligase activity
GO:0043811	phosphate:acyl-[acyl carrier protein] acyltransferase activity
GO:0033818	beta-ketoacyl-acyl-carrier-protein synthase III activity
GO:0003951	NAD+ kinase activity
GO:0006741	NADP biosynthetic process
GO:0019674	NAD metabolic process
GO:0006801	superoxide metabolic process
GO:0004784	superoxide dismutase activity
GO:0009098	leucine biosynthetic process
GO:0003862	3-isopropylmalate dehydrogenase activity
GO:0032194	ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate
GO:0042371	vitamin K biosynthetic process
GO:0032196	transposition
GO:0004177	aminopeptidase activity
GO:0008235	metalloexopeptidase activity
GO:0008781	N-acylneuraminate cytidylyltransferase activity
GO:0016618	hydroxypyruvate reductase activity
GO:0030267	glyoxylate reductase (NADP) activity
GO:0004655	porphobilinogen synthase activity
GO:0003856	3-dehydroquinate synthase activity
GO:0016838	carbon-oxygen lyase activity, acting on phosphates
GO:0042908	xenobiotic transport
GO:0018364	peptidyl-glutamine methylation
GO:0036009	protein-glutamine N-methyltransferase activity
GO:0102559	protein-(glutamine-N5) methyltransferase activity
GO:0015969	guanosine tetraphosphate metabolic process
GO:0008893	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity
GO:0015970	guanosine tetraphosphate biosynthetic process
GO:0004013	adenosylhomocysteinase activity
GO:0033353	S-adenosylmethionine cycle
GO:0008553	proton-exporting ATPase activity, phosphorylative mechanism
GO:0008901	ferredoxin hydrogenase activity
GO:0004614	phosphoglucomutase activity
GO:0004185	serine-type carboxypeptidase activity
GO:0004458	D-lactate dehydrogenase (cytochrome) activity
GO:0008720	D-lactate dehydrogenase activity
GO:1903457	lactate catabolic process
GO:0000408	EKC/KEOPS complex
GO:0061711	N(6)-L-threonylcarbamoyladenine synthase activity
GO:0042274	ribosomal small subunit biogenesis
GO:0000453	enzyme-directed rRNA 2'-O-methylation
GO:0070677	rRNA (cytosine-2'-O-)-methyltransferase activity
GO:0004811	GO:0004811
GO:0052381	tRNA dimethylallyltransferase activity
GO:0045941	GO:0045941
GO:0016563	GO:0016563
GO:0004594	pantothenate kinase activity
GO:0008909	isochorismate synthase activity
GO:0016410	N-acyltransferase activity
GO:0004750	ribulose-phosphate 3-epimerase activity
GO:0009052	pentose-phosphate shunt, non-oxidative branch
GO:0019323	pentose catabolic process
GO:0044262	cellular carbohydrate metabolic process
GO:0006876	cellular cadmium ion homeostasis
GO:0006882	cellular zinc ion homeostasis
GO:0015086	cadmium ion transmembrane transporter activity
GO:0015341	zinc efflux active transmembrane transporter activity
GO:0006414	translational elongation
GO:0003746	translation elongation factor activity
GO:0015369	calcium:proton antiporter activity
GO:0006229	dUTP biosynthetic process
GO:0008829	dCTP deaminase activity
GO:0015949	nucleobase-containing small molecule interconversion
GO:0015940	pantothenate biosynthetic process
GO:0004127	cytidylate kinase activity
GO:0004592	pantoate-beta-alanine ligase activity
GO:0006220	pyrimidine nucleotide metabolic process
GO:0033317	pantothenate biosynthetic process from valine
GO:0015976	carbon utilization
GO:0004089	carbonate dehydratase activity
GO:0009440	cyanate catabolic process
GO:0009001	serine O-acetyltransferase activity
GO:0004347	glucose-6-phosphate isomerase activity
GO:0051156	glucose 6-phosphate metabolic process
GO:0006636	unsaturated fatty acid biosynthetic process
GO:0102985	Delta12-fatty-acid desaturase activity
GO:0008766	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity
GO:0047480	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
GO:0031419	cobalamin binding
GO:0048034	heme O biosynthetic process
GO:0008495	protoheme IX farnesyltransferase activity
GO:0045333	cellular respiration
GO:0006784	heme a biosynthetic process
GO:0044776	DNA polymerase III, core complex
GO:0045004	DNA replication proofreading
GO:0015849	organic acid transport
GO:0031317	tripartite ATP-independent periplasmic transporter complex
GO:0043177	organic acid binding
GO:0016037	light absorption
GO:0009881	photoreceptor activity
GO:0008686	3,4-dihydroxy-2-butanone-4-phosphate synthase activity
GO:0003935	GTP cyclohydrolase II activity
GO:0003796	lysozyme activity
GO:0019835	cytolysis
GO:0000107	imidazoleglycerol-phosphate synthase activity
GO:0004358	glutamate N-acetyltransferase activity
GO:0004042	acetyl-CoA:L-glutamate N-acetyltransferase activity
GO:0006592	ornithine biosynthetic process
GO:0103045	methione N-acyltransferase activity
GO:0006044	N-acetylglucosamine metabolic process
GO:0006051	N-acetylmannosamine metabolic process
GO:0050121	N-acylglucosamine 2-epimerase activity
GO:0006824	cobalt ion transport
GO:0015087	cobalt ion transmembrane transporter activity
GO:0051989	coproporphyrinogen dehydrogenase activity
GO:0015821	methionine transport
GO:0006269	DNA replication, synthesis of RNA primer
GO:0003896	DNA primase activity
GO:1990077	primosome complex
GO:0016682	oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor
GO:0016993	precorrin-8X methylmutase activity
GO:0004526	ribonuclease P activity
GO:0001682	tRNA 5'-leader removal
GO:0030677	ribonuclease P complex
GO:0034414	tRNA 3'-trailer cleavage, endonucleolytic
GO:0042781	3'-tRNA processing endoribonuclease activity
GO:0051205	protein insertion into membrane
GO:0032977	membrane insertase activity
GO:0008934	inositol monophosphate 1-phosphatase activity
GO:0042578	phosphoric ester hydrolase activity
GO:0046854	phosphatidylinositol phosphorylation
GO:0046855	inositol phosphate dephosphorylation
GO:0052832	inositol monophosphate 3-phosphatase activity
GO:0052833	inositol monophosphate 4-phosphatase activity
GO:0004070	aspartate carbamoyltransferase activity
GO:0016743	carboxyl- or carbamoyltransferase activity
GO:0016857	racemase and epimerase activity, acting on carbohydrates and derivatives
GO:0015293	symporter activity
GO:0071702	organic substance transport
GO:0030253	protein secretion by the type I secretion system
GO:0030256	type I protein secretion system complex
GO:0008955	peptidoglycan glycosyltransferase activity
GO:0015648	lipid-linked peptidoglycan transporter activity
GO:0003840	GO:0003840
GO:0006751	glutathione catabolic process
GO:0036374	glutathione hydrolase activity
GO:0102953	hypoglycin A gamma-glutamyl transpeptidase activity
GO:0103068	leukotriene C4 gamma-glutamyl transferase activity
GO:0016879	ligase activity, forming carbon-nitrogen bonds
GO:0009316	3-isopropylmalate dehydratase complex
GO:0003861	3-isopropylmalate dehydratase activity
GO:0006221	pyrimidine nucleotide biosynthetic process
GO:0003883	CTP synthase activity
GO:0006241	CTP biosynthetic process
GO:0019856	pyrimidine nucleobase biosynthetic process
GO:0044210	'de novo' CTP biosynthetic process
GO:0008134	transcription factor binding
GO:0016638	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0004733	pyridoxamine-phosphate oxidase activity
GO:0048500	signal recognition particle
GO:0008312	7S RNA binding
GO:0070681	glutaminyl-tRNAGln biosynthesis via transamidation
GO:0009113	purine nucleobase biosynthetic process
GO:0004637	phosphoribosylamine-glycine ligase activity
GO:0005971	ribonucleoside-diphosphate reductase complex
GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
GO:0009263	deoxyribonucleotide biosynthetic process
GO:0045550	geranylgeranyl reductase activity
GO:0102067	geranylgeranyl diphosphate reductase activity
GO:0004368	glycerol-3-phosphate dehydrogenase (quinone) activity
GO:0052591	sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity
GO:0051473	glucosylglycerol biosynthetic process
GO:0005992	trehalose biosynthetic process
GO:0033828	glucosylglycerol-phosphate synthase activity
GO:0004370	glycerol kinase activity
GO:0016773	phosphotransferase activity, alcohol group as acceptor
GO:0019563	glycerol catabolic process
GO:0016805	dipeptidase activity
GO:0008237	metallopeptidase activity
GO:0003852	2-isopropylmalate synthase activity
GO:0046912	transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer
GO:0043714	(R)-citramalate synthase activity
GO:0006562	proline catabolic process
GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity
GO:0004657	proline dehydrogenase activity
GO:0004760	serine-pyruvate transaminase activity
GO:0005777	peroxisome
GO:0008453	alanine-glyoxylate transaminase activity
GO:0019265	glycine biosynthetic process, by transamination of glyoxylate
GO:0002134	UTP binding
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity
GO:0006011	UDP-glucose metabolic process
GO:0004452	isopentenyl-diphosphate delta-isomerase activity
GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0008534	oxidized purine nucleobase lesion DNA N-glycosylase activity
GO:0034039	8-oxo-7,8-dihydroguanine DNA N-glycosylase activity
GO:0003952	NAD+ synthase (glutamine-hydrolyzing) activity
GO:0008795	NAD+ synthase activity
GO:0006432	phenylalanyl-tRNA aminoacylation
GO:0004826	phenylalanine-tRNA ligase activity
GO:0009328	phenylalanine-tRNA ligase complex
GO:0008964	phosphoenolpyruvate carboxylase activity
GO:0006107	oxaloacetate metabolic process
GO:0019363	pyridine nucleotide biosynthetic process
GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity
GO:0034213	quinolinate catabolic process
GO:0043778	cobalt-precorrin-8 methylmutase activity
GO:0016719	carotene 7,8-desaturase activity
GO:0016120	carotene biosynthetic process
GO:0052886	9,9'-dicis-carotene:quinone oxidoreductase activity
GO:0052887	7,9,9'-tricis-neurosporene:quinone oxidoreductase activity
GO:0004033	aldo-keto reductase (NADP) activity
GO:0004090	carbonyl reductase (NADPH) activity
GO:0004332	fructose-bisphosphate aldolase activity
GO:0015104	antimonite transmembrane transporter activity
GO:0015105	arsenite transmembrane transporter activity
GO:0015699	antimonite transport
GO:0015700	arsenite transport
GO:0006470	protein dephosphorylation
GO:0004725	protein tyrosine phosphatase activity
GO:0008794	arsenate reductase (glutaredoxin) activity
