location	TU ID	TU start	TU end	Strand	TU type	alternative starts	Internal starts	5'UTR	3'UTR	genes	15C	42C	-CO2	Darkness	-Fe	Hl	-N	-P	Exp. p.	Stat. p.	Max cond.	Max reads	Average	Max/Avg	UEF	Sense tags	Annotation	Antisense TUs	Antisense tags
Chr	TU772	769185	769507	+	a	NA	NA	NA	NA	0	527	434	959	56	643	543	791	1261	464	135	-P	1261	581.3	2.17	1.31	NA	NA	NA	sll1917
Chr	TU773	770901	770520	-	g	NA	NA	11	NA	1	479	534	863	262	632	458	979	1009	246	360	-P	1009	582.2	1.73	1.03	sll1916	nicotinic acid mononucleotide adenylyltransferase	NA	NA
Chr	TU775	771532	771693	+	ga	771541	NA	119	NA	1	1582	1334	1630	1065	2100	1791	1092	2465	1210	900	-P	2465	1516.9	1.63	1.17	slr2026	dihydropteroate pyrophosphorylase	TU774	sll1915
Chr	TU774	771595	770902	-	ga	NA	NA	114	28	1	14477	57502	40400	10447	31236	28871	25974	45569	29725	26749	42C	57502	31095	1.85	1.26	sll1915	hypothetical protein	TU775	slr2026
pSYSG	TU8002	3064	1070	-	gai	NA	NA	98	850	1	623	233	364	0	1473	1876	489	427	7573	0	exp. P.	7573	1305.8	5.8	4.04	sll8001	hypothetical protein	"TU8001, TU8003, TU8004"	NA
Chr	TU777	772274	772160	-	a	NA	NA	NA	NA	0	2013	133	422	0	943	1170	489	640	1317	0	15C	2013	712.7	2.82	1.53	NA	NA	TU776	slr2027
Chr	TU778	773009	773136	+	i	NA	NA	NA	NA	0	288	33	173	19	145	199	527	330	198	270	-N	527	218.2	2.42	1.6	slr2027	unknown protein 	NA	NA
Chr	TU779	773367	773468	+	i	NA	NA	NA	NA	0	575	767	1496	860	0	0	75	311	0	3422	stat. P.	3422	750.6	4.56	2.29	slr2027	unknown protein 	NA	NA
Chr	TU781	776233	776605	+	a	NA	NA	NA	123	0	96	300	249	0	284	314	640	369	1500	0	exp. P.	1500	375.2	4	2.34	ncr0330	NA	"TU780, TU782, TU783"	"sll1911, ssl3615, sll1912, sll1913"
Chr	TU780	776369	773805	-	ga	NA	NA	27	22	3	863	467	824	430	739	700	979	1048	565	180	-P	1048	679.5	1.54	1.07	"ssl3615, sll1912, sll1913"	"unknown protein , hypothetical protein , hypothetical protein"	TU781	"slr2027, ncr0330"
Chr	TU782	776521	776370	-	an	NA	NA	NA	NA	0	48	534	38	262	0	0	0	19	0	405	42C	534	130.6	4.09	1.32	NA	NA	TU781	ncr0330
Chr	TU783	776979	776522	-	ga	NA	NA	183	29	1	3451	33	978	0	2427	6278	1054	78	387	0	HL	6278	1468.6	4.27	1.82	sll1911	hypothetical protein	TU781	ncr0330
Chr	TU784	779676	776980	-	g	"779673, 779674"	NA	265	86	1	8773	3869	6098	75	8358	15929	2222	5396	5810	2026	HL	15929	5855.6	2.72	1.82	"ncl0320, sll1910"	"ncRNA, protein conferring resistance to acetazolamide Zam"	NA	NA
Chr	TU785	779828	779714	-	n	NA	NA	NA	24	0	1198	167	518	19	616	669	452	621	836	90	15C	1198	518.6	2.31	1.43	ncl0330	NA	NA	NA
Chr	TU786	779998	784942	+	g	NA	"782586, 783007, 781263"	95	NA	5	1007	267	383	93	343	169	414	388	87	315	15C	1007	346.6	2.91	2.43	"slr2030, slr2031, ssr1880, slr1133, slr1134"	"hypothetical protein , putative PP2C-type protein phosphatase, gene requi red to recover from the nitrogen or sulfate starvation in duced stationary phase , hypothetical protein , L-argininosuccinate lyase , mutator MutT homolog"	NA	NA
Chr	TU787	785499	785398	-	n	NA	NA	NA	NA	0	192	33	58	19	327	271	75	136	517	0	exp. P.	517	162.8	3.18	1.58	NA	NA	NA	NA
Chr	TU788	785643	785761	+	g	NA	NA	22	NA	1	192	0	19	0	332	265	828	97	686	0	-N	828	241.9	3.42	1.21	slr1135	unknown protein	NA	NA
Chr	TU789	785943	785844	-	a	NA	NA	NA	NA	0	336	133	230	19	236	169	452	505	130	225	-P	505	243.5	2.07	1.12	NA	NA	NA	slr1135
Chr	TU790	790422	787819	-	g	NA	NA	16	NA	1	2972	267	575	19	525	380	489	757	350	180	15C	2972	651.4	4.56	3.93	sll1084	hypothetical protein	NA	NA
Chr	TU791	790678	794278	+	ga	NA	NA	41	68	3	479	200	441	0	1688	832	4480	932	756	45	-N	4480	985.3	4.55	2.65	"slr1136, slr1137, slr1138"	"cytochrome c oxidase subunit II , cytochrome c oxidase subunit I , cytochrome c oxidase subunit III"	TU792	NA
Chr	TU793	794279	796297	+	ga	NA	NA	83	397	2	2397	1368	1515	579	1752	3082	376	1688	582	630	HL	3082	1396.9	2.21	1.29	"slr1139, slr1140"	"thioredoxin , DegT/DnrJ/EryC1/StrS family protein"	TU792	sll1082
Chr	TU792	794358	794257	-	an	NA	NA	NA	NA	0	336	167	230	75	445	476	75	252	807	225	exp. P.	807	308.8	2.61	1.7	NA	NA	"TU791, TU793"	"slr1136, slr1137, slr1138, slr1139, slr1140"
Chr	TU794	798784	797306	-	g	NA	NA	22	NA	2	192	100	77	131	102	151	7152	252	2344	45	-N	7152	1054.6	6.78	3.05	"sll1080, sll1081"	"ABC transport system substrate-binding protein , ABC transport system permease protein"	NA	NA
Chr	TU796	799935	800036	+	a	NA	NA	NA	NA	0	144	33	115	0	182	229	527	155	68	45	-N	527	149.8	3.52	2.3	NA	NA	TU795	"ncl0350, sll1077, sll1078, sll1079"
Chr	TU797	800340	800439	+	a	NA	NA	NA	NA	0	527	33	173	0	252	205	188	155	469	0	15C	527	200.2	2.63	1.12	NA	NA	TU795	"ncl0350, sll1077, sll1078, sll1079"
Chr	TU795	801272	798880	-	ga	NA	NA	66	NA	3	2445	33	1822	37	675	422	339	1941	727	495	15C	2445	893.6	2.74	1.26	"ncl0350, sll1077, sll1078, sll1079"	"ncRNA, agmatinase , putative hydrogenase expression/formation protein HypA , putative hydrogenase expression/formation protein HypB"	"TU796, TU797"	NA
Chr	TU798	801399	801273	-	n	NA	NA	NA	NA	0	11696	700	1400	37	1656	3812	22097	3474	10866	135	-N	22097	5587.3	3.95	1.89	ncl0350	NA	NA	NA
Chr	TU799	801482	801546	+	n	NA	NA	NA	NA	0	1965	0	77	0	359	362	1167	78	1602	0	15C	1965	561	3.5	1.23	NA	NA	NA	NA
Chr	TU800	801547	803149	+	ga	NA	NA	96	NA	2	2349	267	863	93	1891	2069	678	699	4216	270	exp. P.	4216	1339.5	3.15	1.79	"slr1142, slr1143"	"hypothetical protein , hypothetical protein"	TU801	NA
Chr	TU801	802748	802649	-	a	NA	NA	NA	NA	0	671	67	230	0	686	259	301	175	592	45	-Fe	686	302.6	2.27	1.02	NA	NA	TU800	"slr1142, slr1143"
Chr	TU802	803595	803472	-	i	NA	NA	NA	NA	0	336	0	115	0	182	90	602	78	121	0	-N	602	152.4	3.95	1.79	sll1076	cation-transporting ATPase PacL 	NA	NA
Chr	TU803	804816	804917	+	a	NA	NA	NA	NA	0	383	200	652	75	702	585	414	466	481	135	-Fe	702	409.3	1.72	1.08	NA	NA	NA	sll1076
Chr	TU804	806394	806292	-	g	NA	NA	40	NA	1	623	634	729	0	959	712	1656	524	1957	180	exp. P.	1957	797.4	2.45	1.18	sll1076	ATPase P	NA	NA
Chr	TU805	809360	806395	-	g	NA	"809121, 806555, 807339"	35	57	2	7142	233	1802	19	4409	6393	1807	1863	3883	675	15C	7142	2822.6	2.53	1.12	"sll1074, ssl2100"	"leucyl-tRNA synthetase , unknown protein"	NA	NA
Chr	TU806	810181	810768	+	ai	810316	810316	NA	NA	0	6423	3702	11236	1346	3579	3830	5459	6715	643	6890	-CO2	11236	4982.3	2.26	1.63	NA	NA	TU807	sml0011
Chr	TU808	810769	811093	+	a	NA	NA	NA	NA	0	911	0	77	0	627	706	75	505	643	0	15C	911	354.4	2.57	1.29	NA	NA	TU807	sml0011
Chr	TU809	811094	811287	+	a	NA	NA	NA	NA	0	1678	367	518	112	986	1683	376	1029	872	45	HL	1683	766.6	2.2	1	SyR50	NA	TU807	sml0011
Chr	TU810	811288	813014	+	ga	NA	NA	201	221	1	3643	2602	3432	561	2036	1351	565	1980	1041	946	15C	3643	1815.7	2.01	1.06	"SyR50, slr1147"	"ncRNA, two-component sensor histidine kinase"	"TU811, TU812"	NA
Chr	TU807	811296	810497	-	ga	NA	811187	51	425	2	1198	534	2589	0	2502	1797	489	854	2612	901	exp. P.	2612	1347.6	1.94	1.01	sml0011	hypothetical protein	"TU806, TU808, TU809"	SyR50
Chr	TU811	811716	811297	-	a	NA	NA	NA	NA	0	18120	10807	15493	7308	13845	12430	29889	26142	4125	3918	-N	29889	14207.7	2.1	1.14	NA	NA	TU810	"SyR50, slr1147"
Chr	TU812	811993	811913	-	a	NA	NA	NA	NA	0	1869	534	422	37	605	959	414	1087	273	450	15C	1869	665	2.81	1.72	NA	NA	TU810	"SyR50, slr1147"
Chr	TU813	813379	813279	-	a	NA	NA	NA	NA	0	383	934	575	168	622	543	489	660	244	315	42C	934	493.3	1.89	1.42	NA	NA	NA	slr1148
Chr	TU814	813621	816526	+	ga	NA	815579	178	311	2	479	267	326	0	145	205	565	543	164	45	-N	565	273.9	2.06	1.04	"ncr0350, slr1149, slr1150"	"ncRNA, ATP-binding protein of ABC transporter , unknown protein"	"TU815, TU816, TU817"	"sll1071, sll1072"
Chr	TU815	813755	813654	-	an	NA	NA	NA	NA	0	288	67	115	0	230	181	301	194	643	0	exp. P.	643	201.9	3.18	2.14	NA	NA	TU814	"ncr0350, slr1149, slr1150"
Chr	TU816	814563	814464	-	a	NA	NA	NA	NA	0	527	667	1035	19	1259	989	565	1261	418	360	-P	1261	710	1.78	1	NA	NA	TU814	"ncr0350, slr1149, slr1150"
Chr	TU817	817844	815984	-	ga	NA	816686	34	314	2	1726	167	479	75	809	1628	376	233	445	225	15C	1726	616.3	2.8	1.06	"sll1071, sll1072"	"hypothetical protein , hypothetical protein"	TU814	"ncr0350, slr1149, slr1150"
Chr	TU818	817951	817900	-	n	NA	NA	NA	NA	0	36958	48530	74875	20951	241	362	5157	15138	0	124515	stat. P.	124515	32672.7	3.81	1.66	NA	NA	NA	NA
Chr	TU820	819416	819524	+	a	NA	NA	NA	NA	0	479	700	575	93	1007	766	452	1242	1677	405	exp. P.	1677	739.6	2.27	1.35	NA	NA	TU819	sll1070
Chr	TU821	819539	819644	+	a	NA	NA	NA	NA	0	288	100	58	19	316	326	75	194	742	0	exp. P.	742	211.8	3.5	2.28	NA	NA	TU819	sll1070
Chr	TU822	819727	820234	+	a	NA	NA	NA	NA	0	2349	534	2090	224	4286	3257	4555	5453	6666	270	exp. P.	6666	2968.4	2.25	1.22	NA	NA	"TU819, TU823"	"ncl0360, ssl2084, sll1069, sll1070"
Chr	TU819	820062	817952	-	ga	NA	"818061, 818296"	83	15	1	95056	3636	23277	449	35308	40337	6512	31324	12574	18103	15C	95056	26657.6	3.57	2.36	sll1070	transketolase	"TU820, TU821, TU822"	NA
Chr	TU824	820441	820690	+	a	NA	NA	NA	NA	0	959	1868	940	112	1002	1104	866	1126	510	270	42C	1868	875.7	2.13	1.66	NA	NA	TU823	"ncl0360, ssl2084, sll1069"
Chr	TU825	821796	822121	+	a	NA	NA	NA	NA	0	911	534	1208	19	1854	1285	1920	1009	6741	315	exp. P.	6741	1579.6	4.27	3.51	NA	NA	TU823	"sll1068, ncl0360, ssl2084, sll1069"
Chr	TU823	821908	820063	-	ga	NA	821065	125	39	2	22194	1601	8149	262	20419	35590	2221	8811	20456	2071	HL	35590	12177.4	2.92	1.6	"ncl0360, ssl2084, sll1069"	"ncRNA, acyl carrier protein , 3-oxoacyl-[acyl-carrier-protein] synthase II"	"TU822, TU824, TU825"	NA
Chr	TU826	822147	822248	+	a	NA	NA	NA	NA	0	240	167	422	318	273	338	188	602	150	360	-P	602	305.8	1.97	1.43	NA	NA	NA	sll1068
Chr	TU827	822778	822290	-	g	NA	NA	72	NA	2	336	167	403	0	889	983	452	485	945	90	HL	983	475	2.07	1.04	"ssl3451, sll1068"	"hypothetical protein , unknown protein"	NA	NA
Chr	TU829	822855	823626	+	ai	NA	NA	NA	NA	0	3308	3636	3490	187	2582	2310	2673	5162	1696	1306	-P	5162	2635	1.96	1.42	NA	NA	TU828	sll1825
Chr	TU828	824003	822779	-	ga	NA	823656	30	604	1	192	167	1246	56	970	434	866	640	365	495	-CO2	1246	543.1	2.29	1.28	sll1825	short chain dehydrogenase	TU829	NA
Chr	TU831	824143	824244	+	an	NA	NA	NA	NA	0	1486	767	1419	206	820	374	2372	1960	633	540	-N	2372	1057.7	2.24	1.21	NA	NA	TU830	"ncl0370, ssl3446, sll1823, sll1824"
Chr	TU832	825677	826095	+	a	NA	NA	NA	NA	0	1438	834	1937	112	2261	1550	3539	3590	6838	270	exp. P.	6838	2236.9	3.06	1.9	NA	NA	TU830	"ncl0370, ssl3446, sll1823, sll1824"
Chr	TU830	826431	824080	-	ga	NA	824703	182	148	3	53160	10306	23680	841	3847	5235	1995	3707	4772	9412	15C	53160	11695.5	4.55	2.24	"ncl0370, ssl3446, sll1823, sll1824"	"ncRNA, hypothetical protein , adenylosuccinate synthetase , 50S ribosomal protein L25"	"TU831, TU832"	NA
Chr	TU834	829729	829998	+	a	NA	NA	NA	NA	0	719	1134	767	19	568	320	753	116	123	225	42C	1134	474.4	2.39	1.48	NA	NA	TU833	"sml0006, sll1816, sll1817, sll1818, sll1819, sll1820, sll1821, sll1822, ssl3445"
Chr	TU833	831245	826507	-	ga	NA	826738	28	130	9	49565	6170	31216	187	27636	66488	33992	15623	24653	4278	HL	66488	25980.8	2.56	1.34	"sml0006, sll1816, sll1817, sll1818, sll1819, sll1820, sll1821, sll1822, ssl3445"	"50S ribosomal protein L36 , 30S ribosomal protein S13 , 30S ribosomal protein S11 , RNA polymerase alpha subunit , 50S ribosomal protein L17 , tRNA pseudouridine synthase 1 , 50S ribosomal protein L13 , 30S ribosomal protein S9 , 50S ribosomal protein L31"	TU834	NA
Chr	TU835	831635	831246	-	g	NA	NA	77	109	1	1055	300	326	37	1179	1441	226	388	1261	225	HL	1441	643.8	2.24	1.14	ssl3441	translation initiation factor IF-1	NA	NA
Chr	TU836	833767	831636	-	g	NA	833516	48	66	2	7526	4136	9069	37	4152	4572	10352	6618	4504	2117	-N	10352	5308.3	1.95	1.14	"sll1814, sll1815"	"preprotein translocase SecY subunit , adenylate kinase"	NA	NA
Chr	TU838	834474	834917	+	a	NA	NA	NA	NA	0	863	1935	1265	542	2047	669	1581	1456	930	315	-Fe	2047	1160.3	1.76	1.06	NA	NA	TU837	"ncl0380, sll1799, sll1800, sll1801, sll1802, ssl3432, sll1803, sll1804, sll1805, ssl3436, ssl3437, sll1806, sll1807, sll1808, sll1809, sll1810, sll1811, sll1812, sll1813"
Chr	TU839	835122	835365	+	a	NA	NA	NA	NA	0	911	0	153	0	279	205	0	311	594	0	15C	911	245.3	3.71	1.53	NA	NA	TU837	"ncl0380, sll1799, sll1800, sll1801, sll1802, ssl3432, sll1803, sll1804, sll1805, ssl3436, ssl3437, sll1806, sll1807, sll1808, sll1809, sll1810, sll1811, sll1812, sll1813"
Chr	TU840	836093	837226	+	a	NA	NA	NA	NA	0	1438	300	901	168	1173	380	3313	1688	1078	540	-N	3313	1097.9	3.02	1.96	NA	NA	TU837	"ncl0380, sll1799, sll1800, sll1801, sll1802, ssl3432, sll1803, sll1804, sll1805, ssl3436, ssl3437, sll1806, sll1807, sll1808, sll1809, sll1810, sll1811, sll1812, sll1813"
Chr	TU841	837769	837868	+	a	NA	NA	NA	NA	0	959	100	1764	37	809	247	1807	776	143	585	-N	1807	722.7	2.5	1.02	NA	NA	TU837	"ncl0380, sll1799, sll1800, sll1801, sll1802, ssl3432, sll1803, sll1804, sll1805, ssl3436, ssl3437, sll1806, sll1807, sll1808, sll1809, sll1810, sll1811, sll1812, sll1813"
Chr	TU842	838230	838541	+	a	NA	NA	NA	NA	0	671	33	134	19	375	193	339	175	188	0	15C	671	212.7	3.15	1.79	NA	NA	TU837	"ncl0380, sll1799, sll1800, sll1801, sll1802, ssl3432, sll1803, sll1804, sll1805, ssl3436, ssl3437, sll1806, sll1807, sll1808, sll1809, sll1810, sll1811, sll1812, sll1813"
Chr	TU843	838646	839147	+	a	NA	NA	NA	NA	0	2684	334	1975	37	3140	1429	2786	2251	18939	991	exp. P.	18939	3456.6	5.48	6.03	NA	NA	TU837	"ncl0380, sll1799, sll1800, sll1801, sll1802, ssl3432, sll1803, sll1804, sll1805, ssl3436, ssl3437, sll1806, sll1807, sll1808, sll1809, sll1810, sll1811, sll1812, sll1813"
Chr	TU844	840575	840674	+	a	NA	NA	NA	NA	0	0	0	38	0	32	18	565	58	1522	135	exp. P.	1522	236.8	6.43	2.69	NA	NA	TU837	"ncl0380, sll1799, sll1800, sll1801, sll1802, ssl3432, sll1803, sll1804, sll1805, ssl3436, ssl3437, sll1806, sll1807, sll1808, sll1809, sll1810, sll1811, sll1812, sll1813"
Chr	TU845	841411	841548	+	a	NA	NA	NA	NA	0	623	133	882	0	1098	416	640	1436	703	135	-P	1436	606.6	2.37	1.31	NA	NA	TU837	"ncl0380, sll1799, sll1800, sll1801, sll1802, ssl3432, sll1803, sll1804, sll1805, ssl3436, ssl3437, sll1806, sll1807, sll1808, sll1809, sll1810, sll1811, sll1812, sll1813"
Chr	TU846	841557	841787	+	a	NA	NA	NA	NA	0	192	734	479	56	11	0	301	291	0	225	42C	734	228.9	3.21	1.53	NA	NA	TU837	"ncl0380, sll1799, sll1800, sll1801, sll1802, ssl3432, sll1803, sll1804, sll1805, ssl3436, ssl3437, sll1806, sll1807, sll1808, sll1809, sll1810, sll1811, sll1812, sll1813"
Chr	TU847	841933	842297	+	a	NA	NA	NA	NA	0	1965	200	1189	0	3166	1496	2899	1805	5219	495	exp. P.	5219	1843.4	2.83	1.65	NA	NA	TU837	"ncl0380, sll1799, sll1800, sll1801, sll1802, ssl3432, sll1803, sll1804, sll1805, ssl3436, ssl3437, sll1806, sll1807, sll1808, sll1809, sll1810, sll1811, sll1812, sll1813"
Chr	TU837	842951	833768	-	ga	NA	835251	338	53	18	34945	2568	11965	131	14707	46609	8206	8112	15114	3963	HL	46609	14632	3.19	1.33	"ncl0380, sll1799, sll1800, sll1801, sll1802, ssl3432, sll1803, sll1804, sll1805, ssl3436, ssl3437, sll1806, sll1807, sll1808, sll1809, sll1810, sll1811, sll1812, sll1813"	"ncRNA, 50S ribosomal protein L3 , 50S ribosomal protein L4 , 50S ribosomal protein L23 , 50S ribosomal protein L2 , 30S ribosomal protein S19 , 50S ribosomal protein L22 , 30S ribosomal protein S3 , 50S ribosomal protein L16 , 50S ribosomal protein L29 , 30S ribosomal protein S17 , 50S ribosomal protein L14 , 50S ribosomal protein L24 , 50S ribosomal protein L5 , 30S ribosomal protein S8 , 50S ribosomal protein L6 , 50S ribosomal protein L18 , 30S ribosomal protein S5 , 50S ribosomal protein L15"	"TU838, TU839, TU840, TU841, TU842, TU843, TU844, TU845, TU846, TU847"	ncr0360
Chr	TU848	843072	843983	+	ga	NA	NA	33	408	1	767	200	173	0	1072	1019	1092	311	256	135	-N	1092	502.5	2.17	1.02	slr1894	probable DNA-binding stress protein	TU849	sll1797
Chr	TU850	843984	844948	+	ga	NA	NA	196	NA	1	911	133	307	93	691	645	791	563	1385	225	exp. P.	1385	574.4	2.41	1.52	slr1895	hypothetical protein	TU849	sll1797
Chr	TU849	844264	843530	-	ga	NA	NA	43	83	1	3260	33	288	19	1602	1381	903	39	198	0	15C	3260	772.3	4.22	2.03	sll1797	hypothetical protein YCF21	"TU848, TU850"	"slr1894, slr1895"
Chr	TU851	845044	845447	+	i	NA	NA	NA	NA	0	4218	3636	4583	1364	7185	5452	4329	3998	7101	1936	-Fe	7185	4380.2	1.64	1.01	slr1895	hypothetical protein 	NA	NA
Chr	TU852	845448	845940	+	ga	NA	NA	34	66	1	2013	133	709	0	900	1001	1581	718	319	90	15C	2013	746.4	2.7	1.27	slr1896	hypothetical protein	TU853	ncl0390
Chr	TU853	846160	845889	-	ai	NA	NA	NA	1	0	240	67	192	37	498	380	414	175	749	45	exp. P.	749	279.7	2.68	1.5	ncl0390	NA	TU852	slr1896
Chr	TU854	846439	847970	+	ga	NA	NA	70	160	1	336	167	192	0	241	181	678	155	201	0	-N	678	215.1	3.15	2.02	slr1897	SrrA	TU855	NA
Chr	TU855	847940	847598	-	a	NA	NA	NA	NA	0	1582	100	422	0	616	537	339	602	638	45	15C	1582	488.1	3.24	2.48	NA	NA	TU854	slr1897
Chr	TU857	848021	849135	+	ga	NA	NA	53	168	1	1390	33	211	19	664	452	3463	505	2827	90	-N	3463	965.4	3.59	1.22	slr1898	acetylglutamate kinase	TU856	NA
Chr	TU856	848082	847983	-	an	NA	NA	NA	NA	0	431	0	77	0	300	452	264	213	976	0	exp. P.	976	271.3	3.6	2.16	NA	NA	TU857	slr1898
Chr	TU858	849136	851690	+	ga	NA	"850408, 849312, 851047, 849877"	70	105	3	815	1434	882	1028	2411	1472	1807	1029	1198	1261	-Fe	2411	1333.7	1.81	1.33	"slr1899, slr1900, slr1901"	"urease accessory protein F , hypothetical protein , ATP-binding protein of ABC transporter"	TU859	NA
Chr	TU859	850353	850156	-	a	NA	NA	NA	NA	0	144	67	211	0	166	60	866	136	140	45	-N	866	183.5	4.72	4.1	NA	NA	TU858	"slr1899, slr1900, slr1901"
Chr	TU860	851691	852363	+	ga	NA	NA	26	NA	2	527	1334	652	56	1940	1616	2033	1475	2039	45	exp. P.	2039	1171.7	1.74	1	"slr1902, slr1903"	"putative transposase [ISY120_a] , putative transposase [ISY120_a]"	TU861	NA
Chr	TU861	852391	851873	-	a	NA	NA	NA	NA	0	1342	200	249	0	493	271	1242	349	271	45	15C	1342	446.2	3.01	1.08	NA	NA	TU860	"slr1902, slr1903"
Chr	TU862	852644	852848	+	a	NA	NA	NA	NA	0	3931	2968	3240	430	4265	5868	4216	4832	2030	1261	HL	5868	3304.1	1.78	1.21	NA	NA	NA	sll1792
Chr	TU864	853159	853265	+	a	NA	NA	NA	NA	0	240	2035	288	150	321	422	38	175	162	0	42C	2035	383.1	5.31	4.82	NA	NA	TU863	sll1791
Chr	TU863	853304	853120	-	ga	NA	NA	23	NA	1	48	67	249	37	177	90	38	233	546	225	exp. P.	546	171	3.19	2.19	sll1791	transposase	TU864	NA
Chr	TU865	862219	853385	-	g	NA	"853499, 855158"	53	112	4	57043	4436	34839	486	19926	26236	32374	16069	3967	5629	15C	57043	20100.5	2.84	1.64	"ssl2233, sll1786, sll1787, sll1789"	"30S ribosomal protein S20 , putative deoxyribonuclease, tatD homolog , RNA polymerase beta subunit , RNA polymerase beta prime subunit"	NA	NA
Chr	TU866	862621	862220	-	i	862322	NA	NA	NA	0	39930	3702	23546	4148	16203	22153	15358	13760	5463	6215	15C	39930	15047.8	2.65	1.7	sll1124	two-component sensor histidine kinase%2C phytochrome -like protein 	NA	NA
Chr	TU868	863214	863724	+	a	NA	NA	NA	NA	0	1198	233	978	0	766	1055	979	757	1392	180	exp. P.	1392	753.8	1.85	1.16	NA	NA	TU867	"sll1123, sll1124"
Chr	TU869	865115	865564	+	a	NA	NA	NA	NA	0	1774	734	1150	37	2122	1279	3162	2193	1834	135	-N	3162	1442	2.19	1.44	NA	NA	TU867	"sll1123, sll1124"
Chr	TU870	865932	866512	+	a	NA	NA	NA	NA	0	240	67	77	0	402	434	113	58	510	0	exp. P.	510	190.1	2.68	1.18	NA	NA	TU867	"sll1123, sll1124"
Chr	TU871	866645	867099	+	a	NA	NA	NA	NA	0	3116	0	479	0	1206	1514	188	466	2402	405	15C	3116	977.6	3.19	1.3	NA	NA	TU867	"sll1123, sll1124"
Chr	TU867	867234	863001	-	ga	NA	NA	90	NA	2	3595	4636	5445	804	12269	9698	10390	11218	7894	1711	-Fe	12269	6766	1.81	1.09	"sll1123, sll1124"	"hypothetical protein , two-component sensor histidine kinase, phytochrome -like protein"	"TU868, TU869, TU870, TU871"	NA
Chr	TU872	867415	867526	+	a	867427	NA	NA	NA	0	1582	100	805	112	1982	4270	904	2213	10185	495	exp. P.	10185	2264.8	4.5	2.39	NA	NA	NA	sll1121
Chr	TU873	868077	868184	+	a	868085	NA	NA	NA	0	1582	133	326	37	681	555	339	446	451	225	15C	1582	477.5	3.31	2.32	NA	NA	NA	sll1121
Chr	TU874	868268	868431	+	a	NA	NA	NA	NA	0	479	200	479	19	557	440	903	330	756	90	-N	903	425.3	2.12	1.19	NA	NA	NA	sll1121
Chr	TU875	868667	868568	-	i	NA	NA	NA	NA	0	3643	233	2512	56	1881	814	3990	2251	1614	1396	-N	3990	1839	2.17	1.1	sll1121	hypothetical protein 	NA	NA
Chr	TU876	869901	869450	-	gi	NA	NA	332	NA	1	336	0	326	0	220	139	1694	213	143	45	-N	1694	311.6	5.44	5.04	sll1121	hypothetical protein	NA	NA
Chr	TU878	872890	872989	+	a	NA	NA	NA	NA	0	1246	33	173	0	364	277	188	408	82	45	15C	1246	281.6	4.42	3.05	NA	NA	TU877	sll1120
Chr	TU877	873338	872336	-	ga	NA	NA	68	NA	1	7430	2335	3912	486	3970	3757	1732	4114	2890	3152	15C	7430	3377.8	2.2	1.81	sll1120	chromosome segregation protein SMC1	TU878	NA
Chr	TU879	874585	873339	-	g	NA	874113	35	126	1	1917	767	575	3943	525	1833	10465	1223	1186	856	-N	10465	2329	4.49	2.65	sll1119	hypothetical protein	NA	NA
Chr	TU881	874643	877635	+	ga	NA	"875051, 875232"	50	NA	4	671	534	230	131	348	296	527	97	280	270	15C	671	338.4	1.98	1.26	"slr1194, slr1195, slr1196, slr1197"	"hypothetical protein , hypothetical protein , periplasmic protein, function unknown , SMF protein"	"TU880, TU882, TU883"	NA
Chr	TU880	874692	874590	-	an	NA	NA	NA	NA	0	623	67	134	0	311	567	151	349	203	90	15C	623	249.5	2.5	1.1	NA	NA	TU881	"slr1194, slr1195, slr1196, slr1197"
Chr	TU882	875041	874926	-	a	NA	NA	NA	NA	0	5656	100	882	0	713	730	339	543	623	270	15C	5656	985.6	5.74	6.41	NA	NA	TU881	"slr1194, slr1195, slr1196, slr1197"
Chr	TU883	877226	876844	-	a	NA	NA	NA	NA	0	575	233	326	206	520	868	489	796	599	135	HL	868	474.7	1.83	1.09	NA	NA	TU881	"slr1194, slr1195, slr1196, slr1197"
Chr	TU884	878287	877726	-	a	NA	NA	NA	NA	0	863	1201	1860	0	1623	1526	1468	1611	1194	946	-CO2	1860	1229.2	1.51	1.15	NA	NA	NA	slr1197
Chr	TU885	878930	878288	-	ga	NA	NA	40	276	1	1390	233	537	19	1275	965	1506	1087	865	0	-N	1506	787.7	1.91	1.08	sll1118	hypothetical protein	NA	slr1197
Chr	TU886	879368	880525	+	ga	NA	"879933, 880147"	40	NA	2	12176	14409	25751	991	24314	13956	11143	25094	11194	14681	-CO2	25751	15370.9	1.68	1.03	"slr1198, slr1199"	"antioxidant protein , DNA mismatch repair protein MutL"	TU887	NA
Chr	TU887	880615	880364	-	a	NA	NA	NA	NA	0	623	400	1035	635	236	350	264	815	317	811	-CO2	1035	548.6	1.89	1.27	NA	NA	TU886	"slr1198, slr1199"
Chr	TU888	881923	884611	+	g	NA	NA	100	92	2	10066	334	824	206	1506	1333	12460	951	6186	766	-N	12460	3463.2	3.6	1.24	"slr1200, slr1201"	"urea transport system permease protein , urea transport system permease protein"	NA	NA
Chr	TU889	884612	885601	+	g	NA	NA	23	70	1	479	200	671	0	536	422	527	466	130	135	-CO2	671	356.6	1.88	1.25	slr1202	lactose ABC transporter permease	NA	NA
Chr	TU890	885602	885772	+	g	NA	NA	39	NA	1	623	67	479	0	364	416	791	194	184	90	-N	791	320.8	2.47	1.27	slr1203	hypothetical protein	NA	NA
